datetime,demand_mw,nuclear_mw,wind_mw,solar_new_mw,solar_existing_mw,solar_total_mw,gas_mw,bath_net_mw,na_net_mw,ironair_net_mw,bath_soc_mwh,na_soc_mwh,ironair_soc_mwh,total_storage_soc_pct,curtailment_mwh,unserved_mwh
2046-02-16 21:00:00,20206.086228643668,3695.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14395.466228643665,10799.999999999993,124323.7858468245,141923.14674639903,4,-0.0,0.0
2046-02-16 22:00:00,20322.96279336878,3695.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14512.342793368778,10199.999999999993,119079.83363755798,127410.80395303025,4,-0.0,0.0
2046-02-16 23:00:00,20422.86558313381,3695.3,2013.3700000000001,0.0,0.0,0.0,0.0,0.0,0.0,14714.195583133813,9599.999999999993,113835.88142829147,112696.60836989644,4,-0.0,0.0
2046-02-17 00:00:00,20516.94879291253,3695.3,1925.9800000000002,0.0,0.0,0.0,0.0,0.0,0.0,14895.668792912533,9599.999999999993,108591.92921902495,97800.9395769839,3,-0.0,0.0
2046-02-17 01:00:00,20520.828512903405,3695.3,1861.1400000000003,0.0,0.0,0.0,0.0,-3000.0,0.0,17964.388512903402,11999.999999999993,103347.97700975844,79836.5510640805,3,-0.0,0.0
2046-02-17 02:00:00,20516.46382791367,3695.3,1721.4700000000003,0.0,0.0,0.0,0.0,3000.0,0.0,12099.693827913667,8999.999999999993,98104.02480049193,67736.85723616683,3,-0.0,0.0
2046-02-17 03:00:00,20456.328168055108,3695.3,1643.52,0.0,0.0,0.0,0.0,0.0,0.0,15117.508168055108,8999.999999999993,92860.07259122541,52619.349068111726,2,-0.0,0.0
2046-02-17 04:00:00,20353.03062329806,3695.3,1204.3200000000002,0.0,0.0,0.0,0.0,0.0,0.0,15453.410623298056,8999.999999999993,87616.1203819589,37165.93844481367,2,-0.0,0.0
2046-02-17 05:00:00,20146.920498782827,3695.3,1428.3200000000002,0.0,0.0,0.0,0.0,3000.0,0.0,12023.300498782832,5999.999999999993,82372.16817269239,25142.637946030838,2,-0.0,0.0
2046-02-17 06:00:00,20202.691473651652,3695.3,1715.2100000000003,0.0,0.0,0.0,0.0,743.1984971321799,0.0,14048.982976519474,5256.801502867813,77128.21596342587,11093.654969511364,1,-0.0,0.0
